animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
12329,Tringa totanus,AVES,CHARADRIIFORMES,Scolopacidae,Archibebe comun,LESRPE
14042,Stercorarius parasiticus  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo parasito,LESRPE
14041,Stercorarius pomarinus  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo pomarino,LESRPE
14044,Stercorarius skua  ,AVES,CHARADRIIFORMES,Stercorariidae,Pagalo grande,LESRPE
14053,Larus audouinii,AVES,CHARADRIIFORMES,Laridae,Gaviota de Audouin,Vulnerable
14056,Larus canus,AVES,CHARADRIIFORMES,Laridae,Gaviota cana,LESRPE
16358,Larus genei,AVES,CHARADRIIFORMES,Laridae,Gaviota picofina,LESRPE
14066,Larus marinus,AVES,CHARADRIIFORMES,Laridae,Gavion atlantico,LESRPE
14050,Larus melanocephalus,AVES,CHARADRIIFORMES,Laridae,Gaviota cabecinegra,LESRPE
14071,Larus minutus,AVES,CHARADRIIFORMES,Laridae,Gaviota enana,LESRPE
14069,Rissa tridactyla,AVES,CHARADRIIFORMES,Laridae,Gaviota tridactila,LESRPE
14085,Chlidonias hybridus,AVES,CHARADRIIFORMES,Laridae,Fumarel cariblanco,LESRPE
14087,Chlidonias leucopterus,AVES,CHARADRIIFORMES,Laridae,Fumarel aliblanco,LESRPE
14086,Chlidonias niger,AVES,CHARADRIIFORMES,Laridae,Fumarel comun,En peligro de extincion
14072,Gelochelidon nilotica ,AVES,CHARADRIIFORMES,Laridae,Pagaza piconegra,LESRPE
12147,Sterna (Thalasseus) sandvicensis,AVES,CHARADRIIFORMES,Laridae,Charran patinegro,LESRPE
14084,Sterna albifrons,AVES,CHARADRIIFORMES,Laridae,Charrancito comun,LESRPE
10831,Sterna bengalensis,AVES,CHARADRIIFORMES,Laridae,Charran bengali,LESRPE
14073,Sterna caspia,AVES,CHARADRIIFORMES,Laridae,Pagaza piquirroja,LESRPE
14078,Sterna dougallii,AVES,CHARADRIIFORMES,Laridae,Charran rosado,LESRPE
14079,Sterna hirundo,AVES,CHARADRIIFORMES,Laridae,Charran comun,LESRPE
11938,Sterna paradisaea,AVES,CHARADRIIFORMES,Laridae,Charran artico,LESRPE
